KOD_DIAGNOZY,NAZOV_DIAGNOZY,DOPLNUJUCE_INFO
C49.0,"Zhubný nádor spojivového a mäkkého tkaniva hlavy, tváre a krku","Zhubný nádor spojivového tkaniva:  
• mihalnice  
• ucha 
Nepatrí sem:  
Zhubný nádor spojivového tkaniva očnice (C69.6)"
C49.1,Zhubný nádor spojivového a mäkkého tkaniva hornej končatiny vrátane pleca,
C49.2,Zhubný nádor spojivového a mäkkého tkaniva dolnej končatiny vrátane bedra,
C49.3,Zhubný nádor spojivového a mäkkého tkaniva hrudníka,"Zhubný nádor pazuchy (axily) 
Zhubný nádor veľkej cievy 
Zhubný nádor bránice 
Nepatrí sem:  
Zhubný nádor prsníka (C50.-) 
Zhubný nádor srdca (C38.0) 
Zhubný nádor mediastína (C38.1 – C38.3) 
Zhubný nádor týmusu (C37)"
C49.4,Zhubný nádor spojivového a mäkkého tkaniva brucha,"Zhubný nádor brušnej steny 
Zhubný nádor podbráničného priestoru (hypochondria)"
C49.5,Zhubný nádor spojivového a mäkkého tkaniva malej panvy,"Zhubný nádor hrádze (perinea) 
Zhubný nádor sedacej časti 
Zhubný nádor slabiny"
C49.6,"Zhubný nádor spojivového a mäkkého tkaniva trupu, bližšie neurčený",Zhubný nádor bližšie neurčenej časti chrbta
C49.8,Zhubný nádor spojivového a mäkkého tkaniva presahujúci viaceré oblasti,"[Pozri poznámku 5 na začiatku tejto kapitoly] 
Zhubný nádor spojivového a mäkkého tkaniva, ktorého miesto vzniku nemožno zatriediť pod žiadnu z položiek C47 – C49.6"
C49.9,"Zhubný nádor spojivového a mäkkého tkaniva, bližšie neurčený",
C50.-,Zhubný nádor prsníka,"Patrí sem:  
Zhubný nádor spojivového tkaniva prsníka 
Nepatrí sem:  
Zhubný nádor kože prsníka (C43.5, C44.5)"
C50.0,Zhubný nádor prsníkovej bradavky a dvorčeka,
C50.1,Zhubný nádor strednej časti prsníka,
C50.2,Zhubný nádor horného vnútorného kvadrantu prsníka,
C50.3,Zhubný nádor dolného vnútorného kvadrantu prsníka,
C50.4,Zhubný nádor horného vonkajšieho kvadrantu prsníka,
C50.5,Zhubný nádor dolného vonkajšieho kvadrantu prsníka,
C50.6,Zhubný nádor axilárnej časti prsníka,
C50.8,Zhubný nádor prsníka presahujúci viaceré oblasti,[Pozri poznámku 5 na začiatku tejto kapitoly]
C50.9,"Zhubný nádor prsníka, bližšie neurčený",
C51.-,Zhubný nádor vulvy,
C51.0,Zhubný nádor veľkého pysku,Zhubný nádor Bartholinovej žľazy (veľkej predsieňovej žľazy)
C51.1,Zhubný nádor malého pysku,
C51.2,Zhubný nádor klitorisu,
C51.8,Zhubný nádor vulvy presahujúci viaceré oblasti,[Pozri poznámku 5 na začiatku tejto kapitoly]
C51.9,"Zhubný nádor vulvy, bližšie neurčený","Zhubný nádor vonkajšieho ženských pohlavných orgánov, bližšie neurčený 
Zhubný nádor ženského ohanbia"
C52,Zhubný nádor pošvy,
C53.-,Zhubný nádor krčka maternice,
C53.0,Zhubný nádor endocervixu maternice,
C53.1,Zhubný nádor exocervixu maternice,
C53.8,Zhubný nádor krčka maternice presahujúci viaceré oblasti,[Pozri poznámku 5 na začiatku tejto kapitoly]
C53.9,"Zhubný nádor krčka maternice, bližšie neurčený",
C54.-,Zhubný nádor tela maternice,
C54.0,Zhubný nádor istmu maternice,Zhubný nádor dolného segmentu maternice
C54.1,Zhubný nádor endometria,
C54.2,Zhubný nádor myometria,
C54.3,Zhubný nádor dna maternice,
C54.8,Zhubný nádor tela maternice presahujúci viaceré oblasti,[Pozri poznámku 5 na začiatku tejto kapitoly]
C54.9,"Zhubný nádor tela maternice, bližšie neurčený",
C55,Zhubný nádor bližšie neurčenej časti maternice,
C56,Zhubný nádor vaječníka,
C57.-,Zhubný nádor iných a bližšie neurčených ženských pohlavných orgánov,
C57.0,Zhubný nádor vajíčkovodu,"Zhubný nádor vajíčkovodu 
Zhubný nádor oviduktu"
C57.1,Zhubný nádor širokého väzu maternice,
C57.2,Zhubný nádor oblého väzu maternice,Zhubný nádor ligamentum rotundum
C57.3,Zhubný nádor parametria,Zhubný nádor bližšie neurčenej časti parametria
C57.4,"Zhubný nádor adnexov maternice, bližšie neurčený",
C57.7,"Zhubný nádor iných ženských pohlavných orgánov, bližšie určených",Zhubný nádor Wolfovho telieska alebo Wolfovho kanála
C57.8,Zhubný nádor ženských pohlavných orgánov presahujúci viaceré oblasti,"[Pozri poznámku 5 na začiatku tejto kapitoly] 
Zhubný nádor ženských pohlavných orgánov, ktorého miesto vzniku nemožno zatriediť pod žiadnu z položiek C51 – C57.7, C58 
Zhubný nádor tubo-ováriový 
Zhubný nádor utero-ováriový"
C57.9,"Zhubný nádor ženského pohlavného orgánu, bližšie neurčeného",Zhubný nádor bližšie neurčenej časti ženskej močovopohlavnej sústavy
C58,Zhubný nádor placenty,"Patrí sem:  
Chorioepitelióm, bližšie neurčený 
Choriokarcinóm, bližšie neurčený 
Nepatrí sem:  
Hydatidózna mola:  
• zhubná (D39.2) 
• invazívna (D39.2) 
• bez bližšieho určenia (O01.9) 
Deštruujúci chorioadenóm (D39.2)"
C60.-,Zhubný nádor penisu,
C60.0,Zhubný nádor predkožky penisu,Zhubný nádor predkožky
C60.1,Zhubný nádor žaluďa penisu,
C60.2,Zhubný nádor tela penisu,Zhubný nádor corpus cavernosum
C60.8,Zhubný nádor penisu presahujúci viaceré oblasti,[Pozri poznámku 5 na začiatku tejto kapitoly]
C60.9,"Zhubný nádor penisu, bližšie neurčený","Zhubný nádor kože penisu, bližšie neurčený"
C61,Zhubný nádor prostaty,
C62.-,Zhubný nádor semenníka,
C62.0,Zhubný nádor nezostúpeného semenníka,"Zhubný nádor ektopického semenníka (miesto nádoru) 
Zhubný nádor retinovaného semenníka (miesto nádoru)"
C62.1,Zhubný nádor zostúpeného semenníka,Zhubný nádor semenníka v skróte
C30.1,Zhubný nádor stredného ucha,"Zhubný nádor dutín hlávkového výbežku 
Zhubný nádor vnútorného ucha 
Zhubný nádor sluchovej  [Eustachovej] trubice  
Nepatrí sem:  
Zhubný nádor zvukovodu (vonkajšieho) (C43.2, C44.2) 
Zhubný nádor kože (vonkajšieho) ucha (C43.2, C44.2) 
Zhubný nádor kostného zvukovodu (meatus acusticus) (C41.01) 
Zhubný nádor ušnej chrupky (C49.0)"
C31.-,Zhubný nádor prinosových dutín,
C31.0,Zhubný nádor čeľustnej dutiny,Zhubný nádor antrum maxillare [Highmori]
C31.1,Zhubný nádor čuchovej dutiny,
C31.2,Zhubný nádor čelovej dutiny,
C31.3,Zhubný nádor dutiny klinovej kosti,
C31.8,Zhubný nádor prinosovej dutiny presahujúci viaceré oblasti,[Pozri poznámku 5 na začiatku tejto kapitoly]
C31.9,Zhubný nádor bližšie neurčenej prinosovej dutiny,
C32.-,Zhubný nádor hrtana,
C32.0,Zhubný nádor glottis,"Zhubný nádor bližšie neurčeného hlasivkového väzu 
Zhubný nádor komory hrtana"
C32.1,Zhubný nádor supraglottis,"Zhubný nádor aryepiglotickej krkvy, hrtanová strana 
Zhubný nádor bližšie neurčenej (suprahyoidovej, nadjazykovej) časti epiglottis 
Zhubný nádor zadnej (hrtanovej) plochy epiglottis 
Zhubný nádor plica vestibularis 
Zhubný nádor nepravých hlasivkových väzov 
Zhubný nádor predsiene hrtana 
Nepatrí sem:  
Zhubný nádor aryepiglotickej krkvy:  
• hypofaryngová strana (C13.1) 
• okrajová zóna (C13.1) 
• bez bližšieho určenia (C13.1) 
 Zhubný nádor prednej plochy epiglottis (C10.1)"
C32.2,Zhubný nádor subglottis,
C32.3,Zhubný nádor hrtanovej chrupky,
C32.8,Zhubný nádor hrtana presahujúci viaceré oblasti,[Pozri poznámku 5 na začiatku tejto kapitoly]
C32.9,"Zhubný nádor hrtana, bližšie neurčený",
C33,Zhubný nádor priedušnice,
C34.-,Zhubný nádor priedušiek a pľúc,
C34.0,Zhubný nádor hlavnej priedušky,"Zhubný nádor kariny priedušnice [carina tracheae] 
Zhubný nádor pľúcneho hilu"
C34.1,Zhubný nádor priedušky alebo pľúc v hornom laloku,
C34.2,Zhubný nádor priedušky alebo pľúc v strednom laloku,
C34.3,Zhubný nádor priedušky alebo pľúc v dolnom laloku,
C34.8,Zhubný nádor priedušky alebo pľúc presahujúci viaceré oblasti,[Pozri poznámku 5 na začiatku tejto kapitoly]
C34.9,"Zhubný nádor priedušky alebo pľúc, bližšie neurčený",
C37,Zhubný nádor týmusu,
C38.-,"Zhubný nádor srdca, medzihrudia (mediastína) a pohrudnice","Nepatrí sem:  
Mezotelióm (C45.-)"
C38.0,Zhubný nádor srdca,"Zhubný nádor perikardu 
Nepatrí sem:  
Zhubný nádor veľkých ciev (C49.3)"
C38.1,Zhubný nádor predného mediastína,
C38.2,Zhubný nádor zadného mediastína,
C38.3,Zhubný nádor bližšie neurčenej časti mediastína,
C38.4,Zhubný nádor pohrudnice,
C38.8,"Zhubný nádor srdca, mediastína a pohrudnice presahujúci viaceré oblasti",[Pozri poznámku 5 na začiatku tejto kapitoly]
C39.-,Zhubný nádor iných a nepresne určených miest dýchacej sústavy a vnútrohrudníkových orgánov,"Nepatrí sem:  
Zhubný nádor bližšie neurčenej časti vnútrohrudného priestoru (C76.1) 
Zhubný nádor bližšie neurčenej časti hrudníka (C76.1)"
C39.0,Zhubný nádor bližšie neurčenej časti horných dýchacích ciest,
C39.8,Zhubný nádor dýchacích a vnútrohrudníkových orgánov presahujúci viaceré oblasti,"[Pozri poznámku 5 na začiatku tejto kapitoly] 
Zhubný nádor dýchacích a vnútrohrudníkových orgánov, ktorého miesto vzniku nemožno zatriediť pod žiadnu z položiek C30 – C39.0 "
C39.9,Zhubný nádor na nepresne určených miestach dýchacej sústavy,"Zhubný nádor dýchacích orgánov,bližšie neurčený"
C40.-,Zhubný nádor kosti a kĺbovej chrupky končatín,
C40.0,Zhubný nádor kosti a klbovej chrupky lopatky a dlhých kostí hornej končatiny,
C40.1,Zhubný nádor kosti a klbovej chrupky krátkych kostí hornej končatiny,
C40.2,Zhubný nádor kosti a klbovej chrupky dlhých kostí dolnej končatiny,
C40.3,Zhubný nádor kosti a klbovej chrupky krátkych kostí dolnej končatiny,
C40.8,Zhubný nádor kosti a kĺbovej chrupky končatín presahujúci viaceré oblasti,[Pozri poznámku 5 na začiatku tejto kapitoly]
C40.9,"Zhubný nádor kosti a kĺbovej chrupky končatiny, bližšie neurčený",
C41.-,Zhubný nádor kosti a kĺbovej chrupky na iných a bližšie neurčených miestach,"Nepatrí sem:  
Zhubný nádor kosti končatín (C40.-) 
Zhubný nádor chrupky:  
• končatín (C40.-) 
• hrtana (C32.3) 
• nosa (C30.0) 
• ucha (C49.0)"
C93.0-,Akútna monoblastová/monocytová leukémia,"AML M5 
AML M5a 
AML M5b"
C93.00,"Akútna monoblastová/monocytová leukémia, bez kompletnej remisie",
C93.01,"Akútna monoblastová/monocytová leukémia, v kompletnej remisii",
C93.1-,Chronická myelomonocytová leukémia,"Chronická monocytová leukémia 
CMML-1 
CMML-2 
CMML s eozinofíliou"
C93.10,"Chronická myelomonocytová leukémia, bez kompletnej remisie",
C93.11,"Chronická myelomonocytová leukémia, v kompletnej remisii",
C93.3-,Juvenilná myelomonocytová leukémia,
C93.30,"Juvenilná myelomonocytová leukémia, bez kompletnej remisie",
C93.31,"Juvenilná myelomonocytová leukémia, v kompletnej remisii",
C93.7-,Iná monocytová leukémia,
C93.70,"Iná monocytová leukémia, bez kompletnej remisie",
C93.71,"Iná monocytová leukémia, v kompletnej remisii",
C93.9-,"Monocytová leukémia, bližšie neurčená",
C93.90,"Monocytová leukémia, bližšie neurčená, bez kompletnej remisie",
C93.91,"Monocytová leukémia, bližšie neurčená, v kompletnej remisii",
C94.-,Iná leukémia z bližšie určených buniek,"Pri leukémii refraktérnej na štandardnú liečbu treba použiť prídavný kód (C95.8) 
Nepatrí sem:  
Leukemická retikuloendotelióza (C91.4-) 
Plazmocytová leukémia (C90.1-) 
Pre kategóriu C94sa používa nasledujúce označenie 5. pozície:  
.-0 bez kompletnej remisie 
bez údaja o remisii 
v čiastočnej remisii 
.-1 v kompletnej remisii"
C94.0-,Akútna erytroleukémia,"Akútna myeloblastová leukémia (AML), M6 (a) (b) 
Erytroleukémia"
C94.00,"Akútna erytroleukémia, bez kompletnej remisie",
C94.01,"Akútna erytroleukémia, v kompletnej remisii",
C94.2-,Akútna megakaryoblastová leukémia,"Akútna myeloblastická leukémia (AML), M7"
C94.20,"Akútna megakaryoblastová leukémia, bez kompletnej remisie",
C94.21,"Akútna megakaryoblastová leukémia, v kompletnej remisii",
C94.3-,Mastocytová leukémia,
C94.30,"Mastocytová leukémia, bez kompletnej remisie",
C94.31,"Mastocytová leukémia, v kompletnej remisii",
C94.4-,Akútna panmyelóza s myelofibrózou,Akútna myelofibróza
C94.40,"Akútna panmyelóza s myelofibrózou, bez kompletnej remisie",
C94.41,"Akútna panmyelóza s myelofibrózou, v kompletnej remisii",
C94.6-,"Myelodysplastická a myeloproliferatívna choroba, inde nezatriedená",
C94.60,"Myelodysplastická a myeloproliferatívna choroba, inde nezatriedená, bez kompletnej remisie",
C94.61,"Myelodysplastická a myeloproliferatívna choroba, inde nezatriedená, v kompletnej remisii",
C94.7-,Iná bližšie určená leukémia,"Agresívna NK-bunková leukémia 
Akútna bazofiloleukémia"
C94.70,"Iná bližšie určená leukémia, bez kompletnej remisie",
C94.71,"Iná bližšie určená leukémia, v kompletnej remisii",
C94.8!,Blastová kríza pri chronickej myeloickej leukémii (CML),
C95.-,Leukémia z bližšie neurčených buniek,"Poznámka: nasledujúce kódy (C95.0 až po C95.7 a C95.9-) sa môžu použiť len vtedy, ak nie je možné priradenie k určitej línii 
Pri leukémii refraktérnej na štandardnú liečbu použite prídavný kód (C95.8) 
Pre kategóriu C95 sa používa nasledujúce označenie 5. pozície:  
.-0 bez kompletnej remisie 
bez údaja o remisii 
v čiastočnej remisii 
.-1 v kompletnej remisii"
C95.0-,Akútna leukémia bližšie neurčeného bunkového typu,"Akútna dvojlíniová leukémia 
Akútna leukémia so zmiešanými líniami 
Akútna dvojfenotypová leukémia  
Leukémia z kmeňových buniek nejasného líniového zaradenia 
Nepatrí sem:  
Akútne vzplanutie bližšie neurčenej chronickej leukémie (C95.1-)"
C95.00,"Akútna leukémia bližšie neurčeného bunkového typu, bez kompletnej remisie",
C95.01,"Akútna leukémia bližšie neurčeného bunkového typu, v kompletnej remisii",
C95.1-,Chronická leukémia bližšie neurčeného bunkového typu,
C95.10,"Chronická leukémia bližšie neurčeného bunkového typu, bez kompletnej remisie",
C95.11,"Chronická leukémia bližšie neurčeného bunkového typu, v kompletnej remisii",
C95.7-,Iná leukémia bližšie neurčeného bunkového typu,
C95.70,"Iná leukémia bližšie neurčeného bunkového typu, bez kompletnej remisie",
C95.71,"Iná leukémia bližšie neurčeného bunkového typu, v kompletnej remisii",
C95.8!,Leukémia refraktérna na štandardnú indukčnú liečbu,
C95.9-,"Leukémia, bližšie neurčená",
C95.90,"Leukémia, bližšie neurčená, bez kompletnej remisie",
C95.91,"Leukémia, bližšie neurčená, v kompletnej remisii",
C96.-,"Iný a bližšie neurčený zhubný nádor lymfatického, krvotvorného a príbuzného tkaniva",
C96.0,Multifokálna a multisystémová (diseminovaná) histiocytóza z Langerhansových buniek [Lettererova-Siweho choroba],Multisystémová histiocytóza X
C96.2,Zhubný mastocytový nádor,"Agresívna systémová mastocytóza 
Sarkóm z mastocytov 
Nepatrí sem:  
Vrodená mastocytóza (kožná manifestácia) (Q82.2) 
Indolentná systémová mastocytóza (D47.0) 
Mastocytová leukémia (C94.3-)"
C96.4,Sarkóm z dendritických buniek (akcesórnych buniek),"Sarkóm z Langerhansových buniek 
Sarkóm z folikulárnych dendritických buniek 
Sarkóm z interdigitálnych dendritických buniek"
C96.5,Multifokálna a unisystémová histiocytóza z Langerhansových buniek,"Handova-Schüllerova-Christianova choroba 
Multifokálna histiocytóza X"
C96.6,Unifokálna histiocytóza z Langerhansových buniek,"Eozinofilný granulóm 
Unifokálna histiocytóza X 
Histiocytóza X, bližšie neurčená 
Histiocytóza z Langerhansových buniek, bližšie neurčená"
C96.7,"Iný zhubný nádor lymfatického, hematopoetického a príbuzného tkaniva, bližšie určený",
C96.8,Histiocytový sarkóm,Zhubná histiocytóza
C96.9,"Zhubný nádor lymfatického, hematopoetického a príbuzného tkaniva, bližšie neurčený",Zhubné nádory s viacnásobným primárnym výskytom na rozličných miestach
C97!,Zhubné nádory mnohopočetné na viacerých nezávislých primárnych miestach,"Poznámka: jednotlivé nádory sa kódujú samostatne. Kód C97! sa môže použiť aj vtedy, ak sa jednotlivým primárnym nádorom prináleží  rovnaký kód (napríklad C43.5 Malígny melanóm trupu)"
D00.-,"Karcinóm in situ ústnej dutiny, pažeráka a žalúdka","Nepatrí sem:  
Melanoma in situ (D03.-)"
D00.0,"Karcinóm in situ pery, ústnej dutiny a hltana","Karcinóm in situ aryepiglotickej krkvy:  
• hypofaryngeálnej strany aryepiglotickej krkvy 
• okrajovej zóny aryepiglotickej krkvy 
• Bližšie neurčený  
Karcinóm in situ hranice červene pery 
Nepatrí sem:  
Karcinóm in situ aryepiglotickej krkvy, hrtanová strana (D02.0) 
Karcinóm in situ hrtanovej príklopky (epiglotis):  
• nadjazylková - suprahyoidná časť (D02.0) 
• bez bližšieho určenia (D02.0) 
Karcinóm in situ kože pery (D03.0, D04.0)"
D00.1,Karcinóm in situ pažeráka,
D00.2,Karcinóm in situ žalúdka,
D01.-,Karcinóm in situ iných a bližšie neurčených tráviacich orgánov,"Nepatrí sem:  
Melanoma in situ (D03.-)"
D01.0,Karcinóm in situ hrubého čreva,"Nepatrí sem:  
Karcinóm in situ rektosigmoidového spojenia (D01.1)"
D01.1,Karcinóm in situ rektosigmoidového spojenia,
D01.2,Karcinóm in situ konečníka,
D01.3,Karcinóm in situ anusu a análneho kanála,"Nepatrí sem:  
Karcinóm in situ:  
• análnej kože (D03.5, D04.5) 
• okraja anusu (D03.5, D04.5) 
Karcinóm in situ perianálnej kože (D03.5, D04.5)"
D01.4,Karcinóm in situ inej a bližšie neurčenej časti čreva,"Nepatrí sem:  
Karcinóm in situ hepatopankreatickej ampuly (ampula Vateri) (D01.5)"
D01.5,"Karcinóm in situ pečene, žlčníka a žlčových ciest", Karcinóm in situ hepatopankreatickej ampuly  [ampulla Vateri]
D01.7,"Karcinóm in situ iného, bližšie určeného tráviaceho orgánu",Karcinóm in situ pankreasu
D01.9,Karcinóm in situ bližšie neurčeného tráviaceho orgánu,
D02.-,Karcinóm in situ stredného ucha a dýchacej sústavy,"Nepatrí sem:  
Melanoma in situ (D03.-)"
L57.4,Cutis laxa senilis,"Aktinická senilná elastóza 
Elastosis senilis"
L57.5,Aktinický granulóm,
M62.41,"Kontraktúra svalu v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)",
D02.0,Karcinóm in situ hrtana,"Karcinóm in situ hrtanovej časti aryepiglotickej krkvy  
Karcinóm in situ hlasivky (suprahyoidnej časti) 
Nepatrí sem:  
Karcinóm in situ aryepiglotickej krkvy:  
• hypofaryngeálnej strany (D00.0) 
• okrajovej časti (D00.0) 
• bližšie neurčenej časti (D00.0)"
D02.1,Karcinóm in situ priedušnice,
D02.2,Karcinóm in situ priedušky a pľúc,
D02.3,Karcinóm in situ iných častí dýchacej sústavy,"Karcinóm in situ stredného ucha 
Karcinóm in situ nosnej dutiny 
Karcinóm in situ prinosovej dutiny 
Nepatrí sem:  
Karcinóm in situ nosa (nosnej):  
• kože (D03.3, D04.3) 
• bližšie neurčenej časti (D09.7) 
Karcinóm in situ kože vonkajšieho ucha (D03.2, D04.2)"
D02.4,"Karcinóm in situ dýchacej sústavy, bližšie neurčený",
D03.-,Melanóm in situ,"Patrí sem:  
Morfologický kód M872 – M879 so stupňom malignity 2"
D03.0,Melanóm in situ pery,
D03.1,Melanóm in situ mihalnice vrátane očného kútika,
D03.2,Melanóm in situ ucha a vonkajšieho zvukovodu,
D03.3,Melanóm in situ iných a bližšie neurčených častí tváre,
D03.4,Melanóm in situ vlasatej časti hlavy a krku,
D03.5,Melanóm in situ trupu,"Melanóm in situ análnej (análneho):  
• kože 
• okraja (obvodu) 
Melanóm in situ prsníka (koža) (mäkké tkanivá) 
Melanóm in situ perianálnej kože"
D03.6,Melanóm in situ hornej končatiny vrátane pleca,
D03.7,Melanóm in situ dolnej končatiny vrátane bedra,
D03.8,Melanóm in situ iných miest,
D03.9,"Melanóm in situ, bližšie neurčený",
D04.-,Karcinóm kože in situ,"Nepatrí sem:  
Melanoma in situ (D03.-) 
Queyratovu erytropláziu penisu bez bližšieho určenia (D07.4)"
D04.0,Karcinóm in situ kože pery,"Nepatrí sem:  
Karcinóm in situ hranice červene pery (D00.0)"
D04.1,Karcinóm in situ kože mihalnice vrátane očného kútika,
D04.2,Karcinóm in situ kože ucha a vonkajšieho zvukovodu,
D04.3,Karcinóm in situ kože iných a bližšie neurčených častí tváre,
D04.4,Karcinóm in situ kože vlasatej časti hlavy a krku,
D04.5,Karcinóm in situ kože trupu,"Karcinóm in situ análnej (análneho):  
• kože 
• okraja (obvodu) 
Karcinóm in situ kože prsníka 
Karcinóm in situ perianálnej kože 
Nepatrí sem:  
Karcinóm in situ anusu bez bližšieho určenia (D01.3) 
Karcinóm in situ kože pohlavných orgánov (D07.-)"
D04.6,Karcinóm in situ kože hornej končatiny vrátane pleca,
D04.7,Karcinóm in situ kože dolnej končatiny vrátane bedra,
D04.8,Karcinóm in situ kože na iných miestach,
D04.9,"Karcinóm in situ kože, bližšie neurčený",
D05.-,Karcinóm in situ prsníka,"Nepatrí sem:  
Karcinóm in situ kože prsníka (D04.5) 
Melanóm in situ kože prsníka (D03.5)"
D05.0,"Karcinóm in situ prsníka, lobulárny",
D05.1,"Karcinóm in situ prsníka, intraduktálny",
D05.7,Iný karcinóm in situ prsníka,
D05.9,"Karcinóm in situ prsníka, bližšie neurčený",
D06.-,Karcinóm in situ krčka maternice,"Patrí sem:  
Intraepitelový nádor krčka maternice [CIN] III. stupňa, s údajom vysokostupňovej dysplázie alebo bez neho 
Nepatrí sem:  
Vysokostupňová dysplázia krčka maternice bez bližšieho určenia (N87.2) 
Melanóm in situ krčka maternice (D03.5)"
D06.0,Karcinóm in situ endocervixu,
D06.1,Karcinóm in situ exocervixu,
D06.7,Karcinóm in situ inej časti krčka maternice,
D06.9,"Karcinóm in situ krčka maternice, bližšie neurčený",
D07.-,Karcinóm in situ iných a bližšie neurčených pohlavných orgánov,"Nepatrí sem:  
Melanóm in situ (D03.5)"
D07.0,Karcinóm in situ endometria,
D07.1,Karcinóm in situ vulvy,"Intraepitelová neoplázia vulvy [VIN] III. stupňa s údajom dysplázie vyššieho stupňa alebo bez neho 
Nepatrí sem:  
Vysokostupňová dysplázia vulvy bez bližšieho určenia (N90.2)"
D07.2,Karcinóm in situ pošvy,"Intraepitelová neoplázia vagíny [VAIN] III. stupňa s údajom dysplázie vyššieho stupňa alebo bez neho 
Nepatrí sem:  
Vysokostupňová dysplázia vagíny bez bližšieho určenia (N89.2)"
D07.3,Karcinóm in situ iných a bližšie neurčených ženských pohlavných orgánov,
D07.4,Karcinóm in situ penisu,"Queyratova erytroplázia, bližšie neurčená"
D07.5,Karcinóm in situ prostaty,"Intraepitelová neoplázia prostaty vysokého stupňa [vysokostuopňová PIN] 
Intraepitelová neoplázia prostaty [PIN] II. alebo III. stupňa 
Nepatrí sem:  
Nízkostupňová dysplázia prostaty (N42.3)"
D07.6,Karcinóm in situ iných a bližšie neurčených mužských pohlavných orgánov,
D09.-,Karcinóm in situ na iných a bližšie neurčených miestach,"Nepatrí sem:  
Melanóm in situ (D03.-)"
D09.0,Karcinóm in situ močového mechúra,
D09.1,Karcinóm in situ iných a bližšie neurčených močových orgánov,
D09.2,Karcinóm in situ oka,"Nepatrí sem:  
Koža mihalnice (D04.1)"
D09.3,Karcinóm in situ štítnej žľazy a iných žliaz s vnútorným vylučovaním,"Nepatrí sem:  
Karcinóm in situ endokrinnej časti pankreasu (D01.7) 
Karcinóm in situ semenníka (D07.6) 
Karcinóm in situ vaječníka (D07.3)"
D09.7,Karcinóm in situ na inom bližšie určenom mieste,
D09.9,"Karcinóm in situ, bližšie neurčený",
D10.-,Nezhubný nádor úst a hltana,
D10.0,Nezhubný nádor pery,"Nezhubný nádor pery (uzdička pery) (vnútorná strana) (sliznica) (hranica červene pery) 
Nepatrí sem:  
Nezhubný nádor kože pery (D22.0, D23.0))"
D10.1,Nezhubný nádor jazyka,Nezhubný nádor jazykovej mandle
D10.2,Nezhubný nádor spodiny úst,
D10.3,Nezhubný nádor inej a bližšie neurčenej časti úst,"Bližšie neurčený nezhubný nádor malej slinnej žľazy 
Nepatria sem:  
Nezhubné odontogénne nádory (D16.42 – D16.5) 
Nezhubný nádor sliznice pery (D10.0) 
Nezhubný nádor nosovohltanovej plochy mäkkého podnebia (D10.6)"
D10.4,Nezhubný nádor mandle,"Nezhubný nádor mandle (hltanovej) (podnebnej) 
Nepatrí sem:  
Nezhubný nádor mandľovej jamky (D10.5) 
Nezhubný nádor mandľových oblúkov (D10.5) 
Nezhubný nádor hltanovej mandle (D10.6) 
Nezhubný nádor jazykovej mandle (D10.1)"
D10.5,Nezhubný nádor inej časti orofaryngu,"Nezhubný nádor prednej plochy hlasivky 
Nezhubný nádor mandľovej jamky 
Nezhubný novotvar podnebných oblúkov 
Nezhubný nádor priehlbinky (vallecula epiglotica) 
Nepatrí sem:  
Nezhubný nádor epiglottis:  
• nadjazylkovej časti (D14.1) 
• bližšie neurčenej časti (D14.1)"
D10.6,Nezhubný nádor nazofaryngu,"Nezhubný nádor zadného okraja nosovej priehradky a mušieľ 
Nezhubný nádor hltanovej mandle"
D10.7,Nezhubný nádor hypofaryngu,
D10.9,"Nezhubný nádor faryngu, bližšie neurčený",
D11.-,Nezhubný nádor veľkých slinných žliaz,"Nepatria sem:  
Nezhubné nádory malých slinných žliaz, ktoré sú zatriedené podľa anatomickej lokalizácie 
Nezhubné nádory malých slinných žliaz bez bližšieho určenia (D10.3)"
D11.0,Nezhubný nádor príušnej žľazy,
D11.7,Nezhubný nádor inej veľkej slinnej žľazy,"Nezhubný nádor slinnej žľazy:  
• podjazykovej 
• podsánkovej"
D11.9,Nezhubný nádor bližšie neurčenej veľkej slinnej žľazy,
D12.-,"Nezhubný nádor hrubého čreva, konečníka, anusu a análneho kanála",
D12.0,Nezhubný nádor slepého čreva,Nezhubný nádor ileocekálnej chlopne [Bauhin]
D12.1,Nezhubný nádor červovitého prívesku slepého čreva,
D12.2,Nezhubný nádor vzostupnej časti hrubého čreva,
D12.3,Nezhubný nádor priečnej časti hrubého čreva,"Nezhubný nádor pravého ohybu (hepatálneho) priečnej časti hrubého čreva  
Nezhubný nádor ľavého ohybu (slezinného) priečnej časti hrubého čreva"
D12.4,Nezhubný nádor zostupnej časti hrubého čreva,
D12.5,Nezhubný nádor esovitej časti hrubého čreva,
D12.6,"Nezhubný nádor hrubého čreva, bližšie neurčený","Adenomatóza hrubého čreva 
Bližšie neurčený nezhubný nádor hrubého čreva 
Polypóza hrubého čreva (vrodená)"
D12.7,Nezhubný nádor rektosigmoidového spojenia,
D12.8,Nezhubný nádor konečníka,
D12.9,Nezhubný nádor anusu a análneho kanála,"Nepatrí sem:  
Nezhubný nádor análnej:  
• kože (D22.5, D23.5) 
• okrajovej (obvodovej) časti (D22.5, D23.5) 
Nezhubný nádor perianálnej kože (D22.5, D23.5)"
D13.-,Nezhubný nádor iných a nepresne určených častí tráviacej sústavy,
D13.0,Nezhubný nádor pažeráka,
D13.1,Nezhubný nádor žalúdka,
